what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721094824385
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1721094825009
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721094828237
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721094832527
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721094838364
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721094839550
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1721094842471
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721094843046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721094885528
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1721094888419
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1721094899768
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721094907589
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721094935126
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1721094944844
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1721094944993
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1721094945150
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1721094946040
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1721094946350
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1721094948957
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1721094949437
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1721094958808
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1721094959008
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721094959396
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721095014589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721095017530
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1721095017548
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721095072746
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1721095073195
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721095075978
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721095078167
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1721095087907
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1721095088333
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1721095124686
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721095166815
